"ID","MonthlyIncome"
871,5519.4406722587
872,2993.20290437588
873,9995.63593719513
874,1962.47972468867
875,3108.89914758661
876,5659.5391929405
877,5842.50386935658
878,1958.12865909325
879,3599.0476745199
880,11121.6174608077
881,10455.6753559444
882,2701.40560230106
883,5837.42448146148
884,6212.0335606863
885,6741.06255730091
886,6173.74754207805
887,7323.88501030992
888,6371.96434523793
889,3419.70621153937
890,3654.21230003225
891,3674.80675704705
892,6634.81719648336
893,6437.54690072027
894,5300.14179026648
895,10404.3226969665
896,7555.71320851716
897,6625.46890227461
898,16781.7316807191
899,6683.32242960403
900,2817.75894157468
901,2834.0519202806
902,6585.52839228857
903,8151.59538449568
904,3452.72324517131
905,16945.5063515777
906,5492.10099432967
907,8843.47810372288
908,6653.20226740116
909,2339.5695317149
910,2254.82105669909
911,16585.7302723435
912,3576.98314590699
913,3177.32183761242
914,15161.7132298432
915,6426.6352109735
916,3219.81453708076
917,1875.75436573654
918,5733.33542513844
919,1552.44030423855
920,3130.02825128083
921,2840.93868453253
922,2257.09612100727
923,3692.85110647017
924,3267.14583083832
925,19141.0313961987
926,3430.06370928394
927,6511.3819590605
928,15289.1229293007
929,1536.7049817657
930,3507.0279527202
931,7529.46942805075
932,13732.0312353403
933,6795.20683511872
934,2172.61822188372
935,2457.48627887251
936,2448.34499103463
937,7827.62419117813
938,8697.43499109133
939,5491.03996031541
940,1861.75721457462
941,5053.29679722947
942,6621.92265656692
943,10523.2682460829
944,6031.92178450061
945,1575.1376795409
946,6359.98251265407
947,2356.44333346816
948,2165.06287012713
949,3975.09746426509
950,6215.82850844196
951,3108.63714737166
952,6521.26447387493
953,6419.24217289007
954,3151.07957037591
955,3199.80117149139
956,3426.05940644732
957,12618.2785018048
958,3008.97064496473
959,9248.27215847199
960,20558.2765002624
961,3323.8710227002
962,3839.87179712366
963,7476.03673963453
964,4351.63503820435
965,2172.02400483041
966,18051.7077742771
967,2625.25621507258
968,7036.00320831311
969,18237.9061867841
970,2656.33470940339
971,6202.67284322342
972,6683.34844538591
973,2597.20274191838
974,2170.10505581943
975,6155.68737448857
976,2769.76520450248
977,8611.30285584138
978,2854.55224822127
979,7991.48481936617
980,16979.4297839439
981,2638.51681833347
982,7792.43336359
983,2714.01938595857
984,3178.37137500733
985,6413.60116869272
986,3393.61400204106
987,1944.37262702206
988,6088.0036674691
989,9540.34606975549
990,2584.70915321579
991,4525.58468941523
992,2818.02624704447
993,4893.8368169448
994,5255.59688399744
995,5483.52444509816
996,5121.19209980343
997,2307.09940229189
998,17892.0378916005
999,7003.68081462235
1000,1860.90411858473
1001,4868.77579345474
1002,2589.20381570542
1003,3700.11378067499
1004,8750.15406858655
1005,3651.76970539126
1006,6376.52892686662
1007,2139.52320868236
1008,6697.17317009334
1009,17447.0791366778
1010,4003.59752852109
1011,8228.90072007484
1012,4179.74742733307
1013,7548.60009374562
1014,3958.64770679506
1015,6765.81837077326
1016,3495.0768161638
1017,3309.7870756615
1018,6665.80087461189
1019,7345.34691022022
1020,1740.90687800348
1021,6544.7395709863
1022,5275.14216260904
1023,3166.31057551063
1024,9995.87642266866
1025,16811.9845660777
1026,16626.0288341265
1027,3947.16404525312
1028,5802.90781627856
1029,5672.78173188083
1030,7345.52679914082
1031,5689.4942310144
1032,4091.22245162504
1033,13687.416090241
1034,2093.30944086422
1035,3278.41027594322
1036,2068.55832195401
1037,5634.42201916062
1038,5431.49034845547
1039,13029.4171626779
1040,6909.70852012769
1041,2802.39270736601
1042,3007.49853676616
1043,6722.51820560502
1044,8670.89637839533
1045,2338.36890813978
1046,1786.46825871062
1047,6125.41461870284
1048,14804.6777490175
1049,3583.8447527768
1050,6042.50345981819
1051,12666.6711858238
1052,3101.28910431968
1053,6257.51923234256
1054,2866.13459694508
1055,3005.25224047683
1056,2742.31815358291
1057,6794.56911705862
1058,15678.2251759873
1059,6342.47822355166
1060,3325.52386046358
1061,4005.1869027242
1062,7208.42003709232
1063,7714.64846469401
1064,2149.54449339352
1065,6506.16868768116
1066,2839.7987533004
1067,5500.25076504721
1068,19753.0402818566
1069,5427.88708888355
1070,2385.83859264307
1071,2470.25954235016
1072,7372.74125047426
1073,2647.06119934516
1074,6889.26224468042
1075,5560.48044984604
1076,17438.6567017616
1077,17730.7823771072
1078,4059.05850482368
1079,4037.85659392434
1080,5562.88023603143
1081,3446.35600891898
1082,2491.50804204348
1083,2286.13855020076
1084,7736.8565229402
1085,6762.74522334758
1086,8299.38628670909
1087,6306.29972412895
1088,2640.53614233984
1089,3077.05341029859
1090,6034.37339769871
1091,6126.52722817228
1092,7220.05685272249
1093,13670.2914637173
1094,5972.69335123859
1095,5633.95761788299
1096,6603.22367997122
1097,4961.60186454104
1098,3128.81730847508
1099,2987.72255090667
1100,6991.37141148599
1101,17050.00677865
1102,6179.9649837755
1103,7248.94043305445
1104,11808.6071883569
1105,3782.37369589631
1106,3659.93805120889
1107,3839.79158765557
1108,3863.83142458178
1109,6098.72534025461
1110,5830.38427414103
1111,7179.91313866514
1112,14286.6735318141
1113,15512.2616686689
1114,8256.03629742294
1115,9536.65243454017
1116,3835.00624627876
1117,8868.79306410434
1118,3306.24380901404
1119,9390.32091725702
1120,3514.83992991513
1121,8881.38692226477
1122,17161.0759853057
1123,3552.32678937903
1124,16552.9711359412
1125,2378.52101933233
1126,1705.75171358305
1127,3167.0649927201
1128,2749.28947305679
1129,16781.6631971593
1130,2973.02421553843
1131,13032.8869678997
1132,17336.0661243109
1133,6794.44310550269
1134,1844.09959012176
1135,3067.60694491017
1136,2960.24062588946
1137,4425.65250465668
1138,6706.45737211723
1139,8148.75924151387
1140,14198.3601432567
1141,6372.18484344545
1142,6938.37731919007
1143,10302.0809751371
1144,5446.74707927191
1145,4749.85074185878
1146,6345.88136627456
1147,2694.14852626856
1148,2191.71106803347
1149,2356.09447529276
1150,7299.96908318365
1151,2485.120410731
1152,6380.42864204278
1153,5550.54800079359
1154,2035.7285952971
1155,7964.71648056076
1156,8900.64019285461
1157,2577.0320525998
1158,4441.93395972326
1159,2821.36145392577
1160,6036.77146138387
1161,2986.47896060228
1162,7104.97923982264
1163,3797.68753365851
1164,7762.9379530359
1165,3075.37545067134
1166,1667.01339167707
1167,7702.86472967855
1168,5954.35581843033
1169,2718.23450305647
1170,3320.72453189611
